Scan #96,PSI,Stim Index,Stim Side,Ipsi,Contra,,Scan #97,PSI,Stim Index,Stim Side,Ipsi,Contra,,Scan #99,PSI,Stim Index,Stim Side,Ipsi,Contra,,Scan #100,PSI,Stim Index,Stim Side,Ipsi,Contra
1,29.9,1,R,TRUE,TRUE,,1,29.9,1,R,TRUE,TRUE,,1,30.3,1,R,TRUE,TRUE,,1,30,1,R,TRUE,TRUE
1,29.9,2,L,TRUE,TRUE,,1,29.9,2,L,TRUE,TRUE,,1,30.3,2,L,TRUE,TRUE,,1,30,2,R,TRUE,TRUE
1,29.9,3,R,TRUE,TRUE,,1,29.9,3,L,TRUE,TRUE,,1,30.3,3,R,TRUE,TRUE,,1,30,3,L,TRUE,TRUE
1,29.9,4,L,TRUE,TRUE,,1,29.9,4,R,TRUE,TRUE,,1,30.3,4,L,TRUE,TRUE,,1,30,4,R,TRUE,TRUE
1,29.9,5,R,TRUE,TRUE,,1,29.9,5,L,TRUE,TRUE,,1,30.3,5,L,TRUE,FALSE,,1,30,5,R,TRUE,TRUE
1,29.9,6,R,TRUE,TRUE,,1,29.9,6,R,TRUE,TRUE,,1,30.3,6,R,TRUE,FALSE,,1,30,6,L,TRUE,TRUE
1,29.9,7,L,TRUE,TRUE,,1,29.9,7,R,TRUE,TRUE,,1,30.3,7,R,TRUE,TRUE,,1,30,7,L,TRUE,TRUE
1,29.9,8,L,TRUE,TRUE,,1,29.9,8,L,TRUE,TRUE,,2,30.4,1,R,FALSE,FALSE,,1,30,8,L,TRUE,TRUE
2,29.7,1,L,TRUE,TRUE,,2,30.4,1,L,TRUE,TRUE,,2,30.4,2,L,TRUE,FALSE,,2,29.9,1,R,TRUE,TRUE
2,29.7,2,L,TRUE,TRUE,,2,30.4,2,R,TRUE,TRUE,,2,30.4,3,L,TRUE,TRUE,,2,29.9,2,L,TRUE,TRUE
2,29.7,3,R,TRUE,TRUE,,2,30.4,3,L,TRUE,TRUE,,2,30.4,4,R,TRUE,TRUE,,2,29.9,3,R,TRUE,TRUE
2,29.7,4,L,TRUE,FALSE,,2,30.4,4,L,TRUE,TRUE,,2,30.4,5,L,TRUE,FALSE,,2,29.9,4,L,TRUE,TRUE
2,29.7,5,R,TRUE,TRUE,,2,30.4,5,R,TRUE,TRUE,,2,30.4,6,L,TRUE,FALSE,,2,29.9,5,L,TRUE,TRUE
2,29.7,6,L,TRUE,TRUE,,2,30.4,6,R,TRUE,TRUE,,2,30.4,7,R,TRUE,FALSE,,2,29.9,6,R,TRUE,TRUE
2,29.7,7,R,TRUE,TRUE,,2,30.4,7,R,TRUE,TRUE,,2,30.4,8,R,TRUE,TRUE,,2,29.9,7,R,TRUE,TRUE
2,29.7,8,R,TRUE,TRUE,,2,30.4,8,L,TRUE,TRUE,,3,3.75,1,R,FALSE,FALSE,,2,29.9,8,L,TRUE,TRUE
3,3.75,1,L,FALSE,FALSE,,3,3.75,1,R,TRUE,FALSE,,3,3.75,2,L,FALSE,FALSE,,3,3.75,1,L,FALSE,FALSE
3,3.75,2,R,TRUE,FALSE,,3,3.75,2,R,FALSE,FALSE,,3,3.75,3,R,FALSE,FALSE,,3,3.75,2,L,FALSE,FALSE
3,3.75,3,L,FALSE,FALSE,,3,3.75,3,L,FALSE,FALSE,,3,3.75,4,R,FALSE,FALSE,,3,3.75,3,L,FALSE,FALSE
3,3.75,4,L,FALSE,FALSE,,3,3.75,4,R,TRUE,TRUE,,3,3.75,5,L,FALSE,FALSE,,3,3.75,4,R,TRUE,TRUE
3,3.75,5,R,TRUE,FALSE,,3,3.75,5,L,FALSE,FALSE,,3,3.75,6,R,FALSE,FALSE,,3,3.75,5,R,FALSE,FALSE
3,3.75,6,R,TRUE,FALSE,,3,3.75,6,R,FALSE,FALSE,,3,3.75,7,L,FALSE,FALSE,,3,3.75,6,R,FALSE,FALSE
3,3.75,7,R,TRUE,TRUE,,3,3.75,7,L,FALSE,FALSE,,3,3.75,8,L,FALSE,FALSE,,3,3.75,7,L,FALSE,FALSE
3,3.75,8,L,FALSE,FALSE,,3,3.75,8,L,FALSE,FALSE,,4,15,1,R,TRUE,FALSE,,3,3.75,8,R,TRUE,TRUE
