Time (msec),Stimulus,Right Top,Left Top,Right Bottom,Left Bottom
0,None,380,408,208,233
4,None,380,408,208,234
7,None,380,409,208,234
11,None,380,409,208,234
14,None,380,408,208,234
18,None,380,408,208,234
21,None,380,409,208,234
25,None,380,408,208,234
29,None,380,409,208,234
32,None,380,408,208,234
36,None,380,409,208,234
39,None,380,409,208,234
43,None,380,408,208,234
46,None,380,408,208,234
50,None,380,409,208,234
54,None,380,408,208,234
57,None,380,408,208,234
61,None,380,408,208,234
64,None,380,408,208,234
68,None,380,408,208,234
71,None,380,408,208,234
75,None,380,408,208,234
79,None,380,408,208,234
82,None,380,408,208,234
86,None,380,408,208,233
89,None,380,408,208,234
93,None,380,408,208,233
96,None,380,408,208,234
100,None,380,408,208,233
104,None,380,408,208,233
107,None,380,408,208,233
111,None,380,408,208,234
114,None,380,408,208,233
118,None,380,408,208,233
121,None,380,408,208,233
125,None,380,408,208,234
129,None,380,408,208,234
132,None,380,408,208,233
136,None,380,408,208,233
139,None,380,408,208,233
143,None,380,408,208,233
146,None,380,408,208,234
150,None,381,408,208,233
154,None,381,408,208,233
157,None,380,409,208,234
161,None,380,409,208,233
164,None,381,409,208,234
168,None,380,408,208,234
171,None,381,409,208,233
175,None,381,409,209,233
179,None,381,409,208,234
182,None,381,409,208,233
186,None,381,409,208,233
189,None,381,409,208,233
193,None,380,409,208,234
196,None,381,409,208,234
200,None,381,409,208,233
204,None,381,409,208,233
207,None,381,409,208,234
211,None,381,409,208,234
214,None,381,409,208,234
218,None,381,409,208,234
221,None,381,409,208,234
225,None,381,410,208,234
229,None,381,410,208,233
232,None,381,410,209,233
236,None,381,410,208,233
239,None,381,410,208,234
243,None,381,410,209,234
246,None,381,411,209,234
250,None,381,411,209,234
254,None,381,411,209,234
257,None,381,411,209,234
261,None,381,411,209,234
264,None,381,411,209,234
268,None,381,411,209,234
271,None,381,411,209,234
275,None,381,411,209,234
279,None,381,412,209,234
282,None,381,411,209,234
286,None,381,412,209,234
289,None,381,412,209,234
293,None,381,412,210,234
296,None,381,412,209,234
300,None,381,412,210,234
304,None,381,412,210,234
307,None,381,412,210,234
311,None,381,412,210,234
314,None,382,412,210,234
318,None,382,412,210,234
321,None,381,412,210,234
325,None,382,412,210,234
329,None,381,412,210,234
332,None,382,412,210,234
336,None,382,412,210,234
339,None,382,412,210,234
343,None,382,412,210,234
346,None,382,412,210,234
350,None,382,412,210,234
354,None,382,412,210,234
357,None,381,412,210,234
361,None,381,412,209,234
364,None,381,412,210,234
368,None,382,412,210,234
371,None,382,412,209,234
375,None,382,412,210,234
379,None,382,412,209,234
382,None,381,412,209,234
386,None,382,412,210,234
389,None,382,412,209,234
393,None,382,412,209,234
396,None,382,412,210,234
400,None,382,412,210,234
404,None,382,412,209,234
407,None,382,412,209,234
411,None,382,412,209,234
414,None,382,412,209,234
418,None,382,412,209,234
421,None,382,412,209,234
425,None,382,412,209,234
429,None,381,412,209,234
432,None,381,411,209,234
436,None,381,411,209,234
439,None,381,411,209,234
443,None,381,411,209,234
446,None,381,411,209,234
450,None,381,411,209,234
454,None,381,411,209,233
457,None,382,411,209,233
461,None,382,411,208,233
464,None,382,411,208,233
468,None,381,411,208,233
471,None,381,411,208,233
475,None,381,411,208,233
479,None,381,411,208,233
482,None,381,411,208,233
486,None,382,411,208,233
489,None,381,411,208,233
493,None,381,411,208,233
496,None,381,411,208,233
500,None,381,411,208,233
504,None,381,411,208,233
507,None,382,411,208,233
511,None,382,411,208,233
514,None,382,411,208,233
518,None,382,411,208,233
521,None,382,411,208,233
525,None,382,411,208,233
529,None,382,411,208,233
532,None,382,411,208,233
536,None,382,411,208,233
539,None,382,411,208,233
543,None,382,411,208,233
546,None,382,411,208,233
550,None,382,411,208,233
554,None,382,411,208,233
557,None,382,411,208,233
561,None,382,411,208,233
564,None,382,411,208,233
568,None,382,411,208,233
571,None,382,411,208,233
575,None,382,411,208,233
579,None,382,411,208,233
582,None,382,411,208,233
586,None,382,411,208,233
589,None,382,411,208,233
593,None,382,411,208,233
596,None,382,411,208,233
600,None,382,411,208,233
604,None,382,411,208,233
607,None,382,411,208,233
611,None,382,411,208,233
614,None,382,411,208,233
618,None,382,411,208,233
621,None,382,411,209,233
625,None,382,411,208,233
629,None,382,411,209,233
632,None,382,411,208,233
