Time (msec),Stimulus,Right Top,Left Top,Right Bottom,Left Bottom
0,None,338,380,187,229
4,None,337,380,187,229
7,None,338,380,187,229
11,None,338,380,187,229
14,None,338,380,187,229
18,None,338,380,187,229
21,None,338,380,186,229
25,None,337,380,186,229
29,None,337,380,186,229
32,None,338,380,186,229
36,None,337,380,186,229
39,None,337,380,186,229
43,None,337,380,186,229
46,None,337,380,186,229
50,None,337,381,186,229
54,None,337,380,186,229
57,None,337,381,186,229
61,None,337,380,186,229
64,None,337,380,186,229
68,None,337,380,186,229
71,None,337,380,186,229
75,None,337,380,186,229
79,None,337,380,186,229
82,None,337,380,186,229
86,None,337,380,186,229
89,None,337,381,186,229
93,None,337,380,186,229
96,None,337,380,186,229
100,None,337,380,186,229
104,None,337,380,186,229
107,None,337,380,186,229
111,None,337,380,186,229
114,None,337,381,186,229
118,None,337,381,186,229
121,None,337,380,186,229
125,None,337,381,186,229
129,None,337,381,186,229
132,None,337,381,186,229
136,None,337,381,186,229
139,None,337,381,186,229
143,None,337,381,186,229
146,None,337,381,186,229
150,None,337,381,186,229
154,None,337,381,186,229
157,None,337,380,186,229
161,None,337,381,185,229
164,None,337,381,185,229
168,None,337,380,185,229
171,None,336,381,185,229
175,None,336,381,185,229
179,None,336,381,185,229
182,None,336,381,185,229
186,None,336,381,185,229
189,None,336,381,185,229
193,None,336,381,185,229
196,None,336,381,185,229
200,None,336,381,185,229
204,None,336,381,185,229
207,None,336,381,185,229
211,None,336,381,185,229
214,None,336,381,185,229
218,None,336,381,185,229
221,None,336,381,185,229
225,None,336,381,185,229
229,None,335,379,185,227
232,None,335,379,185,228
236,None,335,379,185,227
239,None,335,379,185,228
243,None,335,379,185,228
246,None,335,380,185,228
250,None,335,379,185,227
254,None,335,379,185,227
257,None,335,379,185,227
261,None,335,379,185,227
264,None,335,379,185,227
268,None,335,379,185,227
271,None,335,379,185,227
275,None,335,379,185,227
279,None,335,379,185,227
282,None,335,380,185,227
286,None,335,379,185,227
289,None,335,379,185,227
293,None,335,379,185,227
296,None,335,379,185,227
300,None,335,379,185,227
304,None,335,379,185,227
307,None,335,379,185,227
311,None,335,379,185,227
314,None,335,379,185,227
318,None,335,379,185,227
321,None,335,379,185,227
325,None,335,379,185,227
329,None,335,379,185,227
332,None,335,379,185,227
336,None,335,379,185,227
339,None,335,379,185,227
343,None,336,379,185,227
346,None,335,379,185,227
350,None,336,379,185,227
354,None,335,379,185,227
357,None,336,379,185,227
361,None,335,379,185,227
364,None,335,379,185,227
368,None,335,379,185,227
371,None,335,379,185,227
375,None,335,379,185,227
379,None,335,379,185,227
382,None,335,378,185,227
386,None,335,378,185,227
389,None,335,378,185,227
393,None,335,378,185,227
396,None,335,378,185,227
400,None,335,378,185,227
404,None,335,378,185,227
407,None,335,378,185,227
411,None,335,378,185,227
414,None,335,378,186,227
418,None,335,378,185,227
421,None,335,378,186,227
425,None,335,379,186,227
429,None,335,379,186,227
